country_code,indicator_code,date,value,source_organization,source_dataset,source_status,release_status,observation_type
DE,CPI_YOY_A,2029,2.157,IMF,World Economic Outlook,official,final,forecast
DE,CPI_YOY_A,2030,2.187,IMF,World Economic Outlook,official,final,forecast
DE,CPI_YOY_A,2031,2.097,IMF,World Economic Outlook,official,final,forecast
DE,CURRENT_ACCOUNT_GDP_A,2027,3.84,IMF,World Economic Outlook,official,final,forecast
DE,CURRENT_ACCOUNT_GDP_A,2028,3.838,IMF,World Economic Outlook,official,final,forecast
DE,CURRENT_ACCOUNT_GDP_A,2029,3.841,IMF,World Economic Outlook,official,final,forecast
DE,CURRENT_ACCOUNT_GDP_A,2030,3.844,IMF,World Economic Outlook,official,final,forecast
DE,CURRENT_ACCOUNT_GDP_A,2031,3.835,IMF,World Economic Outlook,official,final,forecast
DE,GDP_CURRENT_LCU_A,2027,4795695000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_CURRENT_LCU_A,2028,4959317000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_CURRENT_LCU_A,2029,5119060000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_CURRENT_LCU_A,2030,5269259000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_CURRENT_LCU_A,2031,5418259000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_DEFLATOR_INDEX_A,2027,130.285,IMF,World Economic Outlook,official,final,forecast
DE,GDP_DEFLATOR_INDEX_A,2028,133.137,IMF,World Economic Outlook,official,final,forecast
DE,GDP_DEFLATOR_INDEX_A,2029,136.14,IMF,World Economic Outlook,official,final,forecast
DE,GDP_DEFLATOR_INDEX_A,2030,139.223,IMF,World Economic Outlook,official,final,forecast
DE,GDP_DEFLATOR_INDEX_A,2031,142.273,IMF,World Economic Outlook,official,final,forecast
DE,GDP_NOMINAL_USD_A,2027,5642156000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_NOMINAL_USD_A,2028,5818884000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_NOMINAL_USD_A,2029,6003131000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_NOMINAL_USD_A,2030,6178303000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_NOMINAL_USD_A,2031,6351962000000.0,IMF,World Economic Outlook,official,final,forecast
DE,GDP_PER_CAPITA_USD_A,2027,67613.107,IMF,World Economic Outlook,official,final,forecast
DE,GDP_PER_CAPITA_USD_A,2028,69804.854,IMF,World Economic Outlook,official,final,forecast
DE,GDP_PER_CAPITA_USD_A,2029,72087.756,IMF,World Economic Outlook,official,final,forecast
DE,GDP_PER_CAPITA_USD_A,2030,74263.697,IMF,World Economic Outlook,official,final,forecast
